team,off_eff,def_eff,tempo,off_eff_home,def_eff_home,off_eff_away,def_eff_away
Tennessee Martin,100.573,108.847,0.287182,100.573,108.847,100.573,108.847
Morehead St.,106.082,119.253,0.206541,106.082,119.253,106.082,119.253
Tennessee,121.695,96.3988,0.935823,121.695,96.3988,121.695,96.3988
Texas St.,101.204,111.049,0.255858,101.204,111.049,101.204,111.049
Jackson St.,99.1199,117.054,0.128703,99.1199,117.054,99.1199,117.054
Mississippi,112.562,103.481,0.724599,112.562,103.481,112.562,103.481
Wyoming,114.765,107.067,0.689641,114.765,107.067,114.765,107.067
Minnesota,113.247,100.887,0.790679,113.247,100.887,113.247,100.887
Illinois,131.281,99.3483,0.961027,131.281,99.3483,131.281,99.3483
LIU,106.572,111.15,0.381373,106.572,111.15,106.572,111.15
UTEP,103.663,112.422,0.282358,103.663,112.422,103.663,112.422
Loyola Chicago,104.558,117.804,0.202334,104.558,117.804,104.558,117.804
Texas,126.368,106.851,0.873174,126.368,106.851,126.368,106.851
Maryland Eastern Shore,96.4208,112.36,0.146869,96.4208,112.36,96.4208,112.36
Western Illinois,93.7161,118.458,0.0633114,93.7161,118.458,93.7161,118.458
Fairleigh Dickinson,101.432,118.781,0.13994,101.432,118.781,101.432,118.781
Cornell,120.432,122.1,0.460535,120.432,122.1,120.432,122.1
West Virginia,112.615,99.3348,0.808927,112.615,99.3348,112.615,99.3348
Oklahoma,119.657,108.151,0.761817,119.657,108.151,119.657,108.151
Queens,114.375,118.27,0.404894,114.375,118.27,114.375,118.27
Southern Illinois,104.248,102.599,0.545694,104.248,102.599,104.248,102.599
San Diego St.,114.121,97.5954,0.858022,114.121,97.5954,114.121,97.5954
Nebraska Omaha,105.239,112.025,0.327688,105.239,112.025,105.239,112.025
East Texas A&M,100.003,109.723,0.256025,100.003,109.723,100.003,109.723
DePaul,108.343,100.959,0.692481,108.343,100.959,108.343,100.959
UT Rio Grande Valley,105.866,105.258,0.516556,105.866,105.258,105.866,105.258
Chicago St.,96.6857,119.453,0.0807849,96.6857,119.453,96.6857,119.453
South Dakota,108.203,118.126,0.267176,108.203,118.126,108.203,118.126
Montana St.,111.153,107.955,0.583134,111.153,107.955,111.153,107.955
Oklahoma St.,116.789,106.21,0.748751,116.789,106.21,116.789,106.21
Wagner,106.46,121.417,0.180671,106.46,121.417,106.46,121.417
Bethune Cookman,105.481,110.895,0.359946,105.481,110.895,105.481,110.895
Wofford,109.631,115.169,0.361987,109.631,115.169,109.631,115.169
Cal Poly,104.829,114.583,0.26442,104.829,114.583,104.829,114.583
Towson,101.265,104.509,0.41031,101.265,104.509,101.265,104.509
Delaware St.,88.1794,111.826,0.0611058,88.1794,111.826,88.1794,111.826
Norfolk St.,99.3228,114.724,0.160059,99.3228,114.724,99.3228,114.724
Vermont,109.753,114.446,0.381889,109.753,114.446,109.753,114.446
Liberty,116.968,108.764,0.697672,116.968,108.764,116.968,108.764
UNC Wilmington,109.513,108.135,0.53634,109.513,108.135,109.513,108.135
Le Moyne,105.476,113.269,0.305812,105.476,113.269,105.476,113.269
Presbyterian,103.367,113.082,0.262503,103.367,113.082,103.367,113.082
Michigan,127.028,90.1569,0.980976,127.028,90.1569,127.028,90.1569
Bellarmine,111.425,126.687,0.186003,111.425,126.687,111.425,126.687
East Carolina,98.6159,109.96,0.222323,98.6159,109.96,98.6159,109.96
Northwestern,118.206,105.175,0.793019,118.206,105.175,118.206,105.175
Eastern Illinois,95.3656,107.991,0.193124,95.3656,107.991,95.3656,107.991
Buffalo,114.403,115.052,0.483731,114.403,115.052,114.403,115.052
Northern Kentucky,109.805,110.474,0.482564,109.805,110.474,109.805,110.474
Valparaiso,106.618,104.985,0.544252,106.618,104.985,106.618,104.985
Mercyhurst,98.9827,109.713,0.23441,98.9827,109.713,98.9827,109.713
Elon,115.002,116.107,0.472529,115.002,116.107,115.002,116.107
Appalachian St.,104.691,107.827,0.415939,104.691,107.827,104.691,107.827
West Georgia,101.98,116.83,0.173163,101.98,116.83,101.98,116.83
Cleveland St.,109.073,121.628,0.22218,109.073,121.628,109.073,121.628
Mississippi St.,111.844,102.368,0.734609,111.844,102.368,111.844,102.368
Utah Tech,108.878,112.177,0.415014,108.878,112.177,108.878,112.177
St. John's,122.616,98.5631,0.924919,122.616,98.5631,122.616,98.5631
Long Beach St.,105.714,112.287,0.333216,105.714,112.287,105.714,112.287
Samford,105.877,117.639,0.229447,105.877,117.639,105.877,117.639
Eastern Washington,109.248,113.501,0.391918,109.248,113.501,109.248,113.501
Kansas St.,114.283,105.069,0.724461,114.283,105.069,114.283,105.069
Pepperdine,100.096,109.224,0.268235,100.096,109.224,100.096,109.224
Charleston,108.565,109.802,0.46747,108.565,109.802,108.565,109.802
UC San Diego,112.611,106.708,0.650018,112.611,106.708,112.611,106.708
Grambling St.,101.984,110.655,0.281226,101.984,110.655,101.984,110.655
Texas Southern,103.228,117.178,0.188827,103.228,117.178,103.228,117.178
Central Connecticut,106.987,120.482,0.203246,106.987,120.482,106.987,120.482
VMI,100.112,121.919,0.0939505,100.112,121.919,100.112,121.919
Auburn,125.877,103.961,0.900237,125.877,103.961,125.877,103.961
New Orleans,112.009,115.159,0.420951,112.009,115.159,112.009,115.159
Idaho St.,110.337,115.021,0.382692,110.337,115.021,110.337,115.021
Columbia,109.764,109.897,0.496521,109.764,109.897,109.764,109.897
IU Indy,106.55,118.741,0.223424,106.55,118.741,106.55,118.741
Western Carolina,108.078,117.846,0.269911,108.078,117.846,108.078,117.846
Eastern Kentucky,108.979,118.573,0.274824,108.979,118.573,108.979,118.573
Penn,108.766,110.18,0.462951,108.766,110.18,108.766,110.18
South Carolina St.,96.6419,120.538,0.0730374,96.6419,120.538,96.6419,120.538
Idaho,109.571,109.969,0.489572,109.571,109.969,109.571,109.969
Stony Brook,105.947,110.147,0.390049,105.947,110.147,105.947,110.147
